"","ID","EMPLOYER","VEHPERDR","VEHPERWK","COMMTIME","NORMHOUR","SPEED","OVERTIME","CSO9FT4","CSO9FT3","CSO9FT5","CSO9FT6","CSO9FT9","CSO9FT1","CSO9FT2","CSO9FT8","CSO9FT7","EFACT1","EFACT3","EFACT9","EFACT7","EFACT2","EFACT5","EFACT6","EFACT4","C1CONT","JOBCONST","MANCONST","SELFDRIV","TECHCONS","C1CONTC","C1CONTH","C2CONT","C2CONTC","C2CONTH","CHILD616","CH616F","CHILDLT6","CHILDINH","C3H17M","FEMALE","JOBHOME","LD","MANDPRV","NOSPACE","PCNAV","SUPERVIS","UNAWARE","TSUPNO","F1NVEH","F2HWPLDI","F3HWPLMI","F4WPLHMI","F8AGEGR","F9HHSIZ","F10LT2","F10B6_15","F10B2_5","F11","F12FTWKE","F12PTWKE","F13DRLIC","F14HHLIC","F15EDUC","F16INCOM","DISTANCE","F7SEX","B4OCCUP"
"112",1005,2,1,1,20,80,42,0,-0.6922,1.41612,-0.05289,0.21763,0.99796,0.37278,-0.65192,-0.66608,-1.18699,-0.01875,1.10454,-0.0385,-0.22366,-0.69559,-0.03954,0.21159,-0.20989,3,0,0,1,0,0,3,3,0,3,0,0,0,0,1,0,1,8,0,0,0,1,0,0,2,7,10,10,4,2,0,0,0,2,2,0,1,1,4,5,14,2,1
"113",1007,2,1.5,2,70,80,25.7,20,-0.13021,1.45356,1.09066,1.27946,1.04145,-0.4067,-0.45516,-0.61219,0.73496,-0.31034,-0.25685,0.86064,-1.09893,-1.48563,-0.39952,0.02654,1.30903,2,0,0,1,1,0,2,2,0,2,0,0,0,0,1,0,1,8,0,0,0,1,0,0,6,15,30,40,4,4,0,0,0,2,1,2,1,3,4,4,30,2,1
"114",1010,2,1,1,70,80,20.6,0,-0.7373,-0.92555,0.46548,-1.02295,-1.9523,-1.62712,2.14228,1.11166,-0.383,0.38247,-1.01904,0.27636,0.57892,0.57511,-1.0321,0.14741,-1.66257,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,12,30,40,5,1,0,0,0,2,1,0,1,0,4,3,24,2,1
"115",1020,2,1,1,55,80,27.3,5,-0.66168,-0.89146,-0.22614,-0.88103,-0.53258,-0.28971,0.16713,1.06241,-1.32245,0.37273,0.81202,-0.14805,0.58941,0.55203,0.34248,0.73352,0.54977,2,1,0,1,3,0,2,2,0,2,0,0,0,0,1,0,1,8,0,0,0,0,1,0,2,12.5,25,30,6,2,0,0,0,2,1,1,1,1,6,5,25,2,2
"116",1030,2,2,2,30,80,38,0,0.7142,0.76621,-0.5448,0.49385,0.43783,0.77195,-0.81976,-0.63847,0.67624,-0.16335,-0.05489,0.49595,0.37294,0.81648,-1.10032,0.85899,0.76855,3,0,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,7,0,0,1,1,1,0,4,9.5,15,15,2,4,0,1,1,2,2,0,1,1,3,4,19,1,2
"117",1076,2,1.5,1.5,60,80,28,4,-0.54827,-0.16407,-0.52831,-0.97299,-2.21529,-1.71628,0.56235,-0.65046,-1.26343,0.68773,-0.72309,-1.24667,-0.09765,1.46517,0.08626,-1.37297,-0.18943,3,0,0,1,2,3,2,3,3,3,1,0,0,1,0,0,1,6,0,1,0,0,0,0,3,14,30,30,5,4,0,2,0,2,1,1,1,1,4,3,28,2,1
"118",1077,2,1,1,43,80,27.9,5,1.04454,1.47433,1.15075,1.79799,1.18929,0.68347,-0.32623,-0.05099,0.04117,1.09352,-0.64263,0.80547,-0.04604,0.44812,-1.27629,0.11143,-0.51314,4,0,0,1,2,4,3,4,4,3,1,1,0,1,1,1,1,6,0,0,0,0,0,0,4,10,18,25,3,5,0,1,0,2,2,2,1,3,4,5,20,1,2
"119",1081,2,1,1,40,80,45,0,1.54806,0.55027,0.64049,1.81573,0.77917,-0.041,0.44859,-0.44652,1.40821,1.01021,-0.95148,1.32672,0.24124,-0.27494,-1.00569,0.81765,0.68502,3,0,0,1,0,3,3,3,3,3,1,1,0,1,1,1,1,6,0,0,0,0,0,0,2,15,20,20,4,4,0,2,0,2,2,0,1,1,3,4,30,1,2
"120",1092,2,1,1,60,80,10,0,-0.72987,-0.89401,0.38428,-0.97065,-1.10062,-0.38059,0.31482,0.42628,-1.45621,-0.69244,-0.58804,-0.90508,-0.02789,0.60113,0.9515,0.05264,-0.11256,2,1,0,1,1,2,2,2,2,2,0,0,0,0,1,1,1,5,0,0,0,1,0,0,2,5,30,30,3,2,0,0,0,2,2,0,1,1,6,5,10,1,2
"121",1093,2,1,1,30,80,28,8,0.97814,-0.5931,-0.58589,-0.76524,-0.08478,-0.1058,-0.8851,0.34379,1.3066,1.17269,-0.85719,0.3893,0.45287,-1.12682,-0.27433,-0.42176,0.28396,3,0,1,1,3,2,3,2,2,2,1,1,0,1,1,1,1,5,0,0,1,1,0,1,2,7,15,15,4,3,0,1,0,2,2,0,1,1,6,6,14,1,1
"122",1105,2,1,1,75,80,12.8,0,-0.51896,0.64148,0.29497,-0.65501,-0.16511,0.65072,0.71637,0.06362,0.33429,-1.5558,-0.95488,0.01542,-0.55462,-1.33441,1.9742,-0.76112,-1.56038,2,1,0,1,3,2,2,2,2,2,0,0,0,0,1,0,1,7,0,0,1,0,0,0,2,8,35,40,2,2,0,0,0,2,2,0,1,1,6,5,16,2,2
